NO_EOR,NOCONTAINER,MATERIAL,QTY
EOR/00000204/01/2023,SPNU2880219,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,1.0
EOR/00000204/01/2023,SPNU2880219,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000204/01/2023,SPNU2880219,GASKET - GASKET SECTION 60 CM,1.0
EOR/00000204/01/2023,SPNU2880219,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000204/01/2023,SPNU2880219,CROSS MEMBER - STRAIGHTEN,1.0
EOR/00000204/01/2023,SPNU2880219,FORKLIFT POCKET - WEB STRAIGHTEN,1.0
EOR/00000204/01/2023,SPNU2880219,"TOP RAIL - STRAIGHTEN, WELD 15 CM",1.0
EOR/00000204/01/2023,SPNU2880219,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,1.0
EOR/00000204/01/2023,SPNU2880219,GASKET - GASKET SECTION 30 CM,1.0
EOR/00000205/01/2023,SPNU2729542,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000205/01/2023,SPNU2729542,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000205/01/2023,SPNU2729542,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000205/01/2023,SPNU2729542,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000205/01/2023,SPNU2729542,PANEL - WELD 15 CM,2.0
EOR/00000205/01/2023,SPNU2729542,PANEL - WELD 15 CM,1.0
EOR/00000205/01/2023,SPNU2729542,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,1.0
EOR/00000205/01/2023,SPNU2729542,PANEL - INSERT / PATCH 15X30 CM,1.0
EOR/00000205/01/2023,SPNU2729542,FLOORING - PLYWOOD PATCH BY PLATE 30X30 CM,1.0
EOR/00000205/01/2023,SPNU2729542,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000205/01/2023,SPNU2729542,PANEL - INSERT / PATCH 15X30 CM,1.0
EOR/00000205/01/2023,SPNU2729542,PANEL - INSERT / PATCH 15X15 CM,1.0
EOR/00000205/01/2023,SPNU2729542,FLOORING - PLYWOOD SECTION 90X120 CM,1.0
EOR/00000205/01/2023,SPNU2729542,PANEL - WELD 15 CM,3.0
EOR/00000212/01/2023,SPNU2900151,PANEL - WELD 15 CM,2.0
EOR/00000212/01/2023,SPNU2900151,PANEL - STRAIGHTEN 30X60 CM,1.0
EOR/00000212/01/2023,SPNU2900151,DOOR HARDWARE - HANDLE CATCH STRAIGHTEN,2.0
EOR/00000212/01/2023,SPNU2900151,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000212/01/2023,SPNU2900151,GASKET - GASKET SECTION 120 CM,1.0
EOR/00000212/01/2023,SPNU2900151,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000212/01/2023,SPNU2900151,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000212/01/2023,SPNU2900151,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000212/01/2023,SPNU2900151,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000213/01/2023,SPNU2772404,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000213/01/2023,SPNU2772404,GASKET - GASKET SECTION 120 CM,1.0
EOR/00000213/01/2023,SPNU2772404,DOOR HARDWARE - LOCKING BAR HANDLE HUB STRAIGHTEN,1.0
EOR/00000213/01/2023,SPNU2772404,HINGE - STRAIGHTEN,6.0
EOR/00000213/01/2023,SPNU2772404,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,4.0
EOR/00000213/01/2023,SPNU2772404,GASKET - GASKET SECTION 30 CM,3.0
EOR/00000213/01/2023,SPNU2772404,"CROSS MEMBER - STRAIGHTEN, WELD 15 CM",1.0
EOR/00000213/01/2023,SPNU2772404,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,3.0
EOR/00000213/01/2023,SPNU2772404,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000213/01/2023,SPNU2772404,PANEL - INSERT / PATCH 15X30 CM,1.0
EOR/00000213/01/2023,SPNU2772404,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,1.0
EOR/00000213/01/2023,SPNU2772404,CROSS MEMBER - STRAIGHTEN,3.0
EOR/00000213/01/2023,SPNU2772404,DOOR HARDWARE - HANDLE CATCH STRAIGHTEN,2.0
EOR/00000214/01/2023,SPNU2976630,BOTTOM RAIL - STRAIGHTEN 30 CM,1.0
EOR/00000214/01/2023,SPNU2976630,PANEL - WELD 15 CM,1.0
EOR/00000214/01/2023,SPNU2976630,GASKET - GASKET SECTION 30 CM,1.0
EOR/00000214/01/2023,SPNU2976630,"PANEL - STRAIGHTEN, WELD 15 CM",1.0
EOR/00000214/01/2023,SPNU2976630,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,1.0
EOR/00000214/01/2023,SPNU2976630,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000214/01/2023,SPNU2976630,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000214/01/2023,SPNU2976630,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000215/01/2023,SPNU2722276,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000215/01/2023,SPNU2722276,CROSS MEMBER - INSERT 30 CM,1.0
EOR/00000215/01/2023,SPNU2722276,CROSS MEMBER - INSERT 60 CM,1.0
EOR/00000215/01/2023,SPNU2722276,CROSS MEMBER - WELD,1.0
EOR/00000215/01/2023,SPNU2722276,FLOORING - PLYWOOD SECTION 60X120 CM,2.0
EOR/00000215/01/2023,SPNU2722276,ISO MARKING - OWNERS CODE REPLACE,2.0
EOR/00000215/01/2023,SPNU2722276,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,2.0
EOR/00000215/01/2023,SPNU2722276,PANEL - STRAIGHTEN 60X60 CM,2.0
EOR/00000215/01/2023,SPNU2722276,PANEL - WELD 15 CM,3.0
EOR/00000215/01/2023,SPNU2722276,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000215/01/2023,SPNU2722276,DOOR HARDWARE - LOCKING BAR KEEPER STRAIGHTEN,1.0
EOR/00000215/01/2023,SPNU2722276,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000215/01/2023,SPNU2722276,DOOR SILL - STRAIGHTEN 60 CM,1.0
EOR/00000215/01/2023,SPNU2722276,GASKET - GASKET AND STRIP RESECURE 60 CM,1.0
EOR/00000215/01/2023,SPNU2722276,GASKET - GASKET SECTION 30 CM,1.0
EOR/00000215/01/2023,SPNU2722276,OTHER MARKING - OWNER SIDE LOGO,1.0
EOR/00000215/01/2023,SPNU2722276,BOTTOM RAIL - WELD 15 CM,1.0
EOR/00000215/01/2023,SPNU2722276,"CROSS MEMBER - STRAIGHTEN, WELD",1.0
EOR/00000215/01/2023,SPNU2722276,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000216/01/2023,SPNU2674033,PANEL - INSERT / PATCH 15X45 CM,1.0
EOR/00000216/01/2023,SPNU2674033,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000216/01/2023,SPNU2674033,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000216/01/2023,SPNU2674033,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,1.0
EOR/00000216/01/2023,SPNU2674033,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,2.0
EOR/00000216/01/2023,SPNU2674033,PANEL - WELD 15 CM,6.0
EOR/00000216/01/2023,SPNU2674033,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000216/01/2023,SPNU2674033,"MISCELENEOUS - EXTERIOR / INTERIOR ABRASIVE, PAINT 20 FEET 5%",3.0
EOR/00000216/01/2023,SPNU2674033,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000216/01/2023,SPNU2674033,J BAR - STRAIGHTEN,1.0
EOR/00000216/01/2023,SPNU2674033,HINGE - WELD,1.0
EOR/00000216/01/2023,SPNU2674033,HINGE - PIN REPLACE,1.0
EOR/00000216/01/2023,SPNU2674033,DOORS - FRAME STRAIGHTEN 60 CM,1.0
EOR/00000216/01/2023,SPNU2674033,PANEL - WELD 15 CM,1.0
EOR/00000216/01/2023,SPNU2674033,PANEL - WELD 15 CM,2.0
EOR/00000216/01/2023,SPNU2674033,CORNER CASTING - REPLACE,1.0
EOR/00000216/01/2023,SPNU2674033,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000216/01/2023,SPNU2674033,PANEL - WELD 15 CM,1.0
EOR/00000216/01/2023,SPNU2674033,"CROSS MEMBER - STRAIGHTEN, WELD",1.0
EOR/00000216/01/2023,SPNU2674033,FORKLIFT POCKET - WEB REPLACE,1.0
EOR/00000216/01/2023,SPNU2674033,FORKLIFT POCKET - WEB WELD 15 CM,2.0
EOR/00000216/01/2023,SPNU2674033,FLOORING - PLYWOOD SECTION 60X120 CM,1.0
EOR/00000216/01/2023,SPNU2674033,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,1.0
EOR/00000216/01/2023,SPNU2674033,"HEADER EXTENTION - ABRASIVE, PAINT",1.0
EOR/00000216/01/2023,SPNU2674033,ISO MARKING - OWNERS CODE REPLACE,1.0
EOR/00000217/01/2023,SPNU2753425,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000217/01/2023,SPNU2753425,PANEL - INSERT / PATCH 90X90 CM,1.0
EOR/00000217/01/2023,SPNU2753425,PANEL - INSERT / PATCH 60X60 CM,1.0
EOR/00000217/01/2023,SPNU2753425,PANEL - WELD 30 CM,2.0
EOR/00000217/01/2023,SPNU2753425,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000217/01/2023,SPNU2753425,GASKET - GASKET SECTION 45 CM,1.0
EOR/00000217/01/2023,SPNU2753425,GASKET - GASKET SECTION 30 CM,1.0
EOR/00000217/01/2023,SPNU2753425,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000217/01/2023,SPNU2753425,DOOR SILL - STRAIGHTEN 60 CM,1.0
EOR/00000231/01/2023,SPNU2725362,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000231/01/2023,SPNU2725362,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000231/01/2023,SPNU2725362,HINGE - STRAIGHTEN,4.0
EOR/00000231/01/2023,SPNU2725362,DOORS - FRAME STRAIGHTEN 60 CM,1.0
EOR/00000231/01/2023,SPNU2725362,DOOR HARDWARE - HANDLE RETAINER STRAIGHTEN,1.0
EOR/00000231/01/2023,SPNU2725362,PANEL - WELD 15 CM,2.0
EOR/00000231/01/2023,SPNU2725362,PANEL - WELD 15 CM,1.0
EOR/00000231/01/2023,SPNU2725362,PANEL - WELD 15 CM,1.0
EOR/00000231/01/2023,SPNU2725362,CROSS MEMBER - STRAIGHTEN,3.0
EOR/00000231/01/2023,SPNU2725362,FLOORING - PLYWOOD SECTION 120X180CM,1.0
EOR/00000231/01/2023,SPNU2725362,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,1.0
EOR/00000231/01/2023,SPNU2725362,PANEL - INSERT / PATCH 30X30 CM,1.0
EOR/00000231/01/2023,SPNU2725362,ISO MARKING - OWNERS CODE REPLACE,1.0
EOR/00000231/01/2023,SPNU2725362,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000231/01/2023,SPNU2725362,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000231/01/2023,SPNU2725362,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000231/01/2023,SPNU2725362,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000232/01/2023,SPNU2859715,GASKET - GASKET SECTION 30 CM,1.0
EOR/00000232/01/2023,SPNU2859715,HINGE - STRAIGHTEN,1.0
EOR/00000232/01/2023,SPNU2859715,PANEL - STRAIGHTEN 30X60 CM,1.0
EOR/00000232/01/2023,SPNU2859715,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000232/01/2023,SPNU2859715,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000232/01/2023,SPNU2859715,CROSS MEMBER - STRAIGHTEN,3.0
EOR/00000232/01/2023,SPNU2859715,"CROSS MEMBER - STRAIGHTEN, WELD",1.0
EOR/00000232/01/2023,SPNU2859715,FORKLIFT POCKET - STRAP REPLACE,1.0
EOR/00000232/01/2023,SPNU2859715,PANEL - INSERT / PATCH 60X90 CM,1.0
EOR/00000232/01/2023,SPNU2859715,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,1.0
EOR/00000232/01/2023,SPNU2859715,FLOORING - PLYWOOD / PLANK RESECURE UP TO 6 SCREW,1.0
EOR/00000232/01/2023,SPNU2859715,PANEL - STRAIGHTEN 30X60 CM,1.0
EOR/00000233/01/2023,SPNU2847421,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000233/01/2023,SPNU2847421,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,1.0
EOR/00000233/01/2023,SPNU2847421,PANEL - STRAIGHTEN 60X120 CM,3.0
EOR/00000233/01/2023,SPNU2847421,PANEL - WELD 15 CM,7.0
EOR/00000233/01/2023,SPNU2847421,GASKET - STRIP REPLACE 120 CM,1.0
EOR/00000233/01/2023,SPNU2847421,DOOR HARDWARE - HANDLE CATCH STRAIGHTEN,1.0
EOR/00000233/01/2023,SPNU2847421,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000233/01/2023,SPNU2847421,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000234/01/2023,SPNU2749322,CROSS MEMBER - REPLACE,1.0
EOR/00000234/01/2023,SPNU2749322,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000234/01/2023,SPNU2749322,DOOR SILL - INSERT 90 CM,1.0
EOR/00000234/01/2023,SPNU2749322,PANEL - INSERT / PATCH 15X60 CM,1.0
EOR/00000234/01/2023,SPNU2749322,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000234/01/2023,SPNU2749322,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000234/01/2023,SPNU2749322,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000234/01/2023,SPNU2749322,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000234/01/2023,SPNU2749322,HINGE - STRAIGHTEN,4.0
EOR/00000234/01/2023,SPNU2749322,DOOR SILL - INSERT 15 CM,1.0
EOR/00000234/01/2023,SPNU2749322,PANEL - WELD 15 CM,3.0
EOR/00000234/01/2023,SPNU2749322,PANEL - INSERT / PATCH 15X30 CM,1.0
EOR/00000234/01/2023,SPNU2749322,PANEL - WELD 15 CM,1.0
EOR/00000234/01/2023,SPNU2749322,PANEL - WELD 15 CM,2.0
EOR/00000234/01/2023,SPNU2749322,CROSS MEMBER - STRAIGHTEN,2.0
EOR/00000234/01/2023,SPNU2749322,FORKLIFT POCKET - WEB WELD 15 CM,1.0
EOR/00000234/01/2023,SPNU2749322,PANEL - WELD 15 CM,1.0
EOR/00000234/01/2023,SPNU2749322,"MISCELENEOUS - EXTERIOR / INTERIOR ABRASIVE, PAINT 20 FEET 5%",1.0
EOR/00000234/01/2023,SPNU2749322,"CROSS MEMBER - STRAIGHTEN, WELD 15 CM",5.0
EOR/00000235/01/2023,SPNU2928971,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000235/01/2023,SPNU2928971,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000235/01/2023,SPNU2928971,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000235/01/2023,SPNU2928971,DOOR HARDWARE - HANDLE CATCH STRAIGHTEN,1.0
EOR/00000235/01/2023,SPNU2928971,PANEL - WELD 15 CM,2.0
EOR/00000235/01/2023,SPNU2928971,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000235/01/2023,SPNU2928971,PANEL - INSERT / PATCH 30X30 CM,1.0
EOR/00000235/01/2023,SPNU2928971,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000236/01/2023,SPNU2736198,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000236/01/2023,SPNU2736198,PANEL - INSERT / PATCH 30X30 CM,1.0
EOR/00000236/01/2023,SPNU2736198,PANEL - STRAIGHTEN 30X60 CM,1.0
EOR/00000236/01/2023,SPNU2736198,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000236/01/2023,SPNU2736198,PANEL - STRAIGHTEN 30X60 CM,1.0
EOR/00000236/01/2023,SPNU2736198,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,1.0
EOR/00000236/01/2023,SPNU2736198,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000236/01/2023,SPNU2736198,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000236/01/2023,SPNU2736198,GASKET - GASKET AND STRIP RESECURE 30 CM,1.0
EOR/00000236/01/2023,SPNU2736198,GASKET - GASKET AND STRIP RESECURE 60 CM,1.0
EOR/00000236/01/2023,SPNU2736198,TOP RAIL - WELD 15 CM,1.0
EOR/00000237/01/2023,SPNU2818341,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,3.0
EOR/00000237/01/2023,SPNU2818341,PANEL - WELD 15 CM,3.0
EOR/00000237/01/2023,SPNU2818341,HINGE - STRAIGHTEN,6.0
EOR/00000237/01/2023,SPNU2818341,GASKET - GASKET AND STRIP RESECURE 60 CM,1.0
EOR/00000237/01/2023,SPNU2818341,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000237/01/2023,SPNU2818341,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000237/01/2023,SPNU2818341,DOOR HARDWARE - HANDLE CATCH STRAIGHTEN,2.0
EOR/00000237/01/2023,SPNU2818341,PANEL - WELD 15 CM,1.0
EOR/00000237/01/2023,SPNU2818341,PANEL - STRAIGHTEN 30X120 CM,2.0
EOR/00000237/01/2023,SPNU2818341,VENTILATOR - PLASTIC SMALL REPLACE,1.0
EOR/00000237/01/2023,SPNU2818341,CROSS MEMBER - STRAIGHTEN,3.0
EOR/00000237/01/2023,SPNU2818341,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,1.0
EOR/00000237/01/2023,SPNU2818341,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000237/01/2023,SPNU2818341,VENTILATOR - SEALING,1.0
EOR/00000237/01/2023,SPNU2818341,PANEL - STRAIGHTEN 30X30 CM,1.0
EOR/00000237/01/2023,SPNU2818341,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,4.0
EOR/00000240/01/2023,SPNU4659697,"FLOORING - PLYWOOD / PLANK, REMOVE ASPAL, 20 FEET 10%",1.0
EOR/00000240/01/2023,SPNU4659697,PANEL - STRAIGHTEN 30X120 CM,1.0
EOR/00000240/01/2023,SPNU4659697,GASKET - GASKET SECTION 30 CM,1.0
EOR/00000240/01/2023,SPNU4659697,PANEL - STRAIGHTEN 60X60 CM,2.0
EOR/00000248/01/2023,SPNU2730939,"HEADER EXTENTION - ABRASIVE, PAINT",1.0
EOR/00000248/01/2023,SPNU2730939,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000248/01/2023,SPNU2730939,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,4.0
EOR/00000248/01/2023,SPNU2730939,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000248/01/2023,SPNU2730939,PANEL - INSERT / PATCH 15X30 CM,1.0
EOR/00000248/01/2023,SPNU2730939,PANEL - INSERT / PATCH 15X30 CM,1.0
EOR/00000248/01/2023,SPNU2730939,PANEL - WELD 15 CM,1.0
EOR/00000248/01/2023,SPNU2730939,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000248/01/2023,SPNU2730939,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000248/01/2023,SPNU2730939,ISO MARKING - OWNERS CODE REPLACE,1.0
EOR/00000248/01/2023,SPNU2730939,GASKET - GASKET SECTION 30 CM,3.0
EOR/00000248/01/2023,SPNU2730939,"MISCELENEOUS - EXTERIOR / INTERIOR ABRASIVE, PAINT 20 FEET 5%",1.0
EOR/00000248/01/2023,SPNU2730939,PANEL - WELD 15 CM,2.0
EOR/00000248/01/2023,SPNU2730939,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000248/01/2023,SPNU2730939,"PANEL - STRAIGHTEN, WELD 15 CM",1.0
EOR/00000248/01/2023,SPNU2730939,PANEL - WELD 15 CM,3.0
EOR/00000248/01/2023,SPNU2730939,PANEL - WELD 15 CM,3.0
EOR/00000248/01/2023,SPNU2730939,PANEL - INSERT / PATCH 15X30 CM,1.0
EOR/00000248/01/2023,SPNU2730939,GASKET - STRIP REPLACE 120 CM,1.0
EOR/00000248/01/2023,SPNU2730939,GASKET - GASKET SECTION 60 CM,1.0
EOR/00000248/01/2023,SPNU2730939,GASKET - STRIP SECTION 30 CM,1.0
EOR/00000248/01/2023,SPNU2730939,GASKET - GASKET AND STRIP RESECURE 30 CM,1.0
EOR/00000248/01/2023,SPNU2730939,DOORS - FRAME STRAIGHTEN 60 CM,1.0
EOR/00000248/01/2023,SPNU2730939,HINGE - STRAIGHTEN,4.0
EOR/00000249/01/2023,SPNU2930639,PANEL - WELD 15 CM,2.0
EOR/00000249/01/2023,SPNU2930639,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000249/01/2023,SPNU2930639,MISCELENEOUS - FLOORING SWEEPING 20 FEET,1.0
EOR/00000249/01/2023,SPNU2930639,PANEL - WELD 15 CM,1.0
EOR/00000249/01/2023,SPNU2930639,PANEL - STRAIGHTEN 30X120 CM,2.0
EOR/00000249/01/2023,SPNU2930639,GASKET - GASKET SECTION 30 CM,2.0
EOR/00000249/01/2023,SPNU2930639,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000249/01/2023,SPNU2930639,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000250/01/2023,SPNU2709090,DOOR HARDWARE - LOCKING BAR ROD STRAIGHTEN,2.0
EOR/00000250/01/2023,SPNU2709090,PANEL - WELD 15 CM,1.0
EOR/00000250/01/2023,SPNU2709090,PANEL - WELD 15 CM,2.0
EOR/00000250/01/2023,SPNU2709090,DOORS - WELD 15 CM,1.0
EOR/00000250/01/2023,SPNU2709090,HINGE - STRAIGHTEN,4.0
EOR/00000250/01/2023,SPNU2709090,DOOR HARDWARE - HANDLE RETAINER STRAIGHTEN,1.0
EOR/00000250/01/2023,SPNU2709090,DOOR HARDWARE - LOCKING BAR HANDLE STRAIGHTEN,1.0
EOR/00000250/01/2023,SPNU2709090,GASKET - GASKET SECTION 30 CM,3.0
EOR/00000250/01/2023,SPNU2709090,GASKET - GASKET SEALING 5 CM,1.0
EOR/00000250/01/2023,SPNU2709090,DOOR HARDWARE - LOCKING BAR CAM STRAIGHTEN,3.0
EOR/00000250/01/2023,SPNU2709090,MISCELENEOUS - SECURING DEVICE / OTHER MATERIAL REMOVE,1.0
EOR/00000250/01/2023,SPNU2709090,ISO MARKING - SERIAL NUMBER/CD REPLACE PER PIECE,1.0
EOR/00000250/01/2023,SPNU2709090,ISO MARKING - OWNERS CODE REPLACE,1.0
EOR/00000250/01/2023,SPNU2709090,"MISCELENEOUS - EXTERIOR / INTERIOR ABRASIVE, PAINT 20 FEET 5%",1.0
EOR/00000250/01/2023,SPNU2709090,PANEL - INSERT / PATCH 30X30 CM,2.0
EOR/00000250/01/2023,SPNU2709090,FLOORING - PLYWOOD / PLANK RESECURE UP TO 12 SCREW,1.0
EOR/00000250/01/2023,SPNU2709090,CROSS MEMBER - INSERT 30 CM,1.0
EOR/00000250/01/2023,SPNU2709090,PANEL - WELD 15 CM,2.0
EOR/00000250/01/2023,SPNU2709090,CROSS MEMBER - STRAIGHTEN,2.0
